year,events_urls,stage,r_o,country,contestant,song,points,place,qualified
2012,https://eurovision.tv/event/baku-2012,Final,25,Ukraine,Gaitana,Be My Guest,65,15,NA
2012,https://eurovision.tv/event/baku-2012,Final,26,Moldova,Pasha Parfeny,Lăutar,81,11,NA
2012,https://eurovision.tv/event/baku-2012,SF1,1,Montenegro,Rambo Amadeus,Euro Neuro,20,15,NA
2012,https://eurovision.tv/event/baku-2012,SF1,2,Iceland,Greta Salóme & Jónsi,Never Forget,75,8,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,3,Greece,Eleftheria Eleftheriou,Aphrodisiac,116,4,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,4,Latvia,Anmary,Beautiful Song,17,16,NA
2012,https://eurovision.tv/event/baku-2012,SF1,5,Albania,Rona Nishliu,Suus,146,2,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,6,Romania,Mandinga,Zaleilah,120,3,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,7,Switzerland,Sinplus,Unbreakable,45,11,NA
2012,https://eurovision.tv/event/baku-2012,SF1,8,Belgium,Iris,Would You?,16,17,NA
2012,https://eurovision.tv/event/baku-2012,SF1,9,Finland,Pernilla,När Jag Blundar,41,12,NA
2012,https://eurovision.tv/event/baku-2012,SF1,10,Israel,Izabo,Time,33,13,NA
2012,https://eurovision.tv/event/baku-2012,SF1,11,San Marino,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh),31,14,NA
2012,https://eurovision.tv/event/baku-2012,SF1,12,Cyprus,Ivi Adamou,La La Love,91,7,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,13,Denmark,Soluna Samay,Should've Known Better,63,9,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,14,Russia,Buranovskiye Babushki,Party For Everybody,152,1,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,15,Hungary,Compact Disco,Sound Of Our Hearts,52,10,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,16,Austria,Trackshittaz,Woki Mit Deim Popo,8,18,NA
2012,https://eurovision.tv/event/baku-2012,SF1,17,Moldova,Pasha Parfeny,Lăutar,100,5,qualified
2012,https://eurovision.tv/event/baku-2012,SF1,18,Ireland,Jedward,Waterline,92,6,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,1,Serbia,Željko Joksimović,Nije Ljubav Stvar,159,2,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,2,North Macedonia,Kaliopi,Crno I Belo,53,9,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,3,The Netherlands,Joan Franka,You And Me,35,15,NA
2012,https://eurovision.tv/event/baku-2012,SF2,4,Malta,Kurt Calleja,This Is The Night,70,7,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,5,Belarus,Litesound,We Are The Heroes,35,16,NA
2012,https://eurovision.tv/event/baku-2012,SF2,6,Portugal,Filipa Sousa,Vida Minha,39,13,NA
2012,https://eurovision.tv/event/baku-2012,SF2,7,Ukraine,Gaitana,Be My Guest,64,8,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,8,Bulgaria,Sofi Marinova,Love Unlimited,45,11,NA
2012,https://eurovision.tv/event/baku-2012,SF2,9,Slovenia,Eva Boto,Verjamem,31,17,NA
2012,https://eurovision.tv/event/baku-2012,SF2,10,Croatia,Nina Badrić,Nebo,42,12,NA
2012,https://eurovision.tv/event/baku-2012,SF2,11,Sweden,Loreen,Euphoria,181,1,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,12,Georgia,Anri Jokhadze,I'm A Joker,36,14,NA
2012,https://eurovision.tv/event/baku-2012,SF2,13,Turkey,Can Bonomo,Love Me Back,80,5,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,14,Estonia,Ott Lepland,Kuula,100,4,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,15,Slovakia,Max Jason Mai,Don't Close Your Eyes,22,18,NA
2012,https://eurovision.tv/event/baku-2012,SF2,16,Norway,Tooji,Stay,45,10,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,17,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,77,6,qualified
2012,https://eurovision.tv/event/baku-2012,SF2,18,Lithuania,Donny Montell,Love Is Blind,104,3,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,Final,1,Finland,Paradise Oskar,Da Da Dam,57,21,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,2,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,125,6,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,3,Denmark,A Friend In London,New Tomorrow,134,5,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,4,Lithuania,Evelina Sašenko,C'est Ma Vie,63,19,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,5,Hungary,Kati Wolf,What About My Dreams?,53,22,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,6,Ireland,Jedward,Lipstick,119,8,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,7,Sweden,Eric Saade,Popular,185,3,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,8,Estonia,Getter Jaani,Rockefeller Street,44,24,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,9,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,120,7,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,10,Russia,Alexej Vorobjov,Get You,77,16,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,11,France,Amaury Vassili,Sognu,82,15,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,12,Italy,Raphael Gualazzi,Madness Of Love,189,2,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,13,Switzerland,Anna Rossinelli,In Love For A While,19,25,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,14,United Kingdom,Blue,I Can,100,11,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,15,Moldova,Zdob și Zdub,So Lucky,97,12,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,16,Germany,Lena,Taken By A Stranger,107,10,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,17,Romania,Hotel FM,Change,77,17,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,18,Austria,Nadine Beiler,The Secret Is Love,64,18,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,19,Azerbaijan,Ell/Nikki,Running Scared,221,1,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,20,Slovenia,Maja Keuc,No One,96,13,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,21,Iceland,Sjonni's Friends,Coming Home,61,20,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,22,Spain,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,50,23,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,23,Ukraine,Mika Newton,Angel,159,4,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,24,Serbia,Nina,Čaroban,85,14,NA
2011,https://eurovision.tv/event/dusseldorf-2011,Final,25,Georgia,Eldrine,One More Day,110,9,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,1,Poland,Magdalena Tul,Jestem,18,19,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,2,Norway,Stella Mwangi,Haba Haba,30,17,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,3,Albania,Aurela Gaçe,Feel The Passion,47,14,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,4,Armenia,Emmy,Boom Boom,54,12,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,5,Turkey,Yüksek Sadakat,Live It Up,47,13,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,6,Serbia,Nina,Čaroban,67,8,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,7,Russia,Alexej Vorobjov,Get You,64,9,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,8,Switzerland,Anna Rossinelli,In Love For A While,55,10,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,9,Georgia,"Eldrine
 


qualified",One More Day,74,6,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,10,Finland,Paradise Oskar,Da Da Dam,103,3,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,11,Malta,Glen Vella,One Life,54,11,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,12,San Marino,Senit,Stand By,34,16,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,13,Croatia,Daria,Celebrate,41,15,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,14,Iceland,Sjonni's Friends,Coming Home,100,4,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,15,Hungary,Kati Wolf,What About My Dreams?,72,7,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,16,Portugal,Homens Da Luta,Luta É Alegria,22,18,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,17,Lithuania,Evelina Sašenko,C'est Ma Vie,81,5,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,18,Azerbaijan,Ell/Nikki,Running Scared,122,2,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF1,19,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,133,1,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,1,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,109,5,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,2,Austria,Nadine Beiler,The Secret Is Love,69,7,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,3,The Netherlands,3JS,Never Alone,13,19,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,4,Belgium,Witloof Bay,With Love Baby,53,11,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,5,Slovakia,TWiiNS,I'm Still Alive,48,13,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,6,Ukraine,Mika Newton,Angel,81,6,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,7,Moldova,Zdob și Zdub,So Lucky,54,10,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,8,Sweden,Eric Saade,Popular,155,1,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,9,Cyprus,Christos Mylordos,San Aggelos S’Agapisa,16,18,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,10,Bulgaria,Poli Genova,Na Inat,48,12,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,11,North Macedonia,Vlatko Ilievski,Rusinka,36,16,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,12,Israel,Dana International,Ding Dong,38,15,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,13,Slovenia,Maja Keuc,No One,112,3,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,14,Romania,Hotel FM,Change,111,4,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,15,Estonia,Getter Jaani,Rockefeller Street,60,9,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,16,Belarus,Anastasiya Vinnikova,I Love Belarus,45,14,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,17,Latvia,Musiqq,Angel In Disguise,25,17,NA
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,18,Denmark,A Friend In London,New Tomorrow,135,2,qualified
2011,https://eurovision.tv/event/dusseldorf-2011,SF2,19,Ireland,Jedward,Lipstick,68,8,qualified
2010,https://eurovision.tv/event/oslo-2010,Final,1,Azerbaijan,Safura,Drip Drop,145,5,NA
2010,https://eurovision.tv/event/oslo-2010,Final,2,Spain,Daniel Diges,Algo Pequeñito (Something Tiny),68,15,NA
2010,https://eurovision.tv/event/oslo-2010,Final,3,Norway,Didrik Solli-Tangen,My Heart Is Yours,35,20,NA
2010,https://eurovision.tv/event/oslo-2010,Final,4,Moldova,Sunstroke Project & Olia Tira,Run Away,27,22,NA
2010,https://eurovision.tv/event/oslo-2010,Final,5,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,27,21,NA
2010,https://eurovision.tv/event/oslo-2010,Final,6,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,51,17,NA
2010,https://eurovision.tv/event/oslo-2010,Final,7,Belgium,Tom Dice,Me And My Guitar,143,6,NA
2010,https://eurovision.tv/event/oslo-2010,Final,8,Serbia,Milan Stanković,Ovo Je Balkan,72,13,NA
2010,https://eurovision.tv/event/oslo-2010,Final,9,Belarus,3+2,Butterflies,18,24,NA
2010,https://eurovision.tv/event/oslo-2010,Final,10,Ireland,Niamh Kavanagh,It's For You,25,23,NA
2010,https://eurovision.tv/event/oslo-2010,Final,11,Greece,Giorgos Alkaios & Friends,OPA,140,8,NA
2010,https://eurovision.tv/event/oslo-2010,Final,12,United Kingdom,Josh,That Sounds Good To Me,10,25,NA
2010,https://eurovision.tv/event/oslo-2010,Final,13,Georgia,Sofia Nizharadze,Shine,136,9,NA
2010,https://eurovision.tv/event/oslo-2010,Final,14,Turkey,maNga,We Could Be The Same,170,2,NA
2010,https://eurovision.tv/event/oslo-2010,Final,15,Albania,Juliana Pasha,It's All About You,62,16,NA
2010,https://eurovision.tv/event/oslo-2010,Final,16,Iceland,Hera Björk,Je Ne Sais Quoi,41,19,NA
2010,https://eurovision.tv/event/oslo-2010,Final,17,Ukraine,Alyosha,Sweet People,108,10,NA
2010,https://eurovision.tv/event/oslo-2010,Final,18,France,Jessy Matador,Allez Ola Olé,82,12,NA
2010,https://eurovision.tv/event/oslo-2010,Final,19,Romania,Paula Seling & Ovi,Playing With Fire,162,3,NA
2010,https://eurovision.tv/event/oslo-2010,Final,20,Russia,Peter Nalitch & Friends,Lost And Forgotten,90,11,NA
2010,https://eurovision.tv/event/oslo-2010,Final,21,Armenia,Eva Rivas,Apricot Stone,141,7,NA
2010,https://eurovision.tv/event/oslo-2010,Final,22,Germany,Lena,Satellite,246,1,NA
2010,https://eurovision.tv/event/oslo-2010,Final,23,Portugal,Filipa Azevedo,Há Dias Assim,43,18,NA
2010,https://eurovision.tv/event/oslo-2010,Final,24,Israel,Harel Skaat,Milim,71,14,NA
2010,https://eurovision.tv/event/oslo-2010,Final,25,Denmark,Chanée & N'evergreen,In A Moment Like This,149,4,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,1,Moldova,Sunstroke Project & Olia Tira,Run Away,52,10,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,2,Russia,Peter Nalitch & Friends,Lost And Forgotten,74,7,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,3,Estonia,Malcolm Lincoln,Siren,39,14,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,4,Slovakia,Kristina Pelakova,Horehronie,24,16,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,5,Finland,Kuunkuiskaajat,Työlki Ellää,49,11,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,6,Latvia,Aisha,What For?,11,17,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,7,Serbia,Milan Stanković,Ovo Je Balkan,79,5,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,8,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,59,8,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,9,Poland,Marcin Mroziński,Legenda,44,13,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,10,Belgium,Tom Dice,Me And My Guitar,167,1,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,11,Malta,Thea Garrett,My Dream,45,12,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,12,Albania,Juliana Pasha,It's All About You,76,6,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,13,Greece,Giorgos Alkaios & Friends,OPA,133,2,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,14,Portugal,Filipa Azevedo,Há Dias Assim,89,4,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,15,North Macedonia,Gjoko Taneski,Jas Ja Imam Silata,37,15,NA
2010,https://eurovision.tv/event/oslo-2010,SF1,16,Belarus,3+2,Butterflies,59,9,qualified
2010,https://eurovision.tv/event/oslo-2010,SF1,17,Iceland,Hera Björk,Je Ne Sais Quoi,123,3,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,1,Lithuania,InCulto,Eastern European Funk,44,12,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,2,Armenia,Eva Rivas,Apricot Stone,83,6,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,3,Israel,Harel Skaat,Milim,71,8,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,4,Denmark,Chanée & N'evergreen,In A Moment Like This,101,5,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,5,Switzerland,Michael von der Heide,Il Pleut de L'Or,2,17,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,6,Sweden,Anna Bergendahl,This Is My Life,62,11,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,7,Azerbaijan,Safura,Drip Drop,113,2,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,8,Ukraine,Alyosha,Sweet People,77,7,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,9,The Netherlands,Sieneke,Ik Ben Verliefd (Sha-la-lie),29,14,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,10,Romania,Paula Seling & Ovi,Playing With Fire,104,4,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,11,Slovenia,Ansambel Žlindra & Kalamari,Narodnozabavni Rock,6,16,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,12,Ireland,Niamh Kavanagh,It's For You,67,9,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,13,Bulgaria,Miro,Angel Si Ti,19,15,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,14,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,67,10,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,15,Croatia,Feminnem,Lako Je Sve,33,13,NA
2010,https://eurovision.tv/event/oslo-2010,SF2,16,Georgia,Sofia Nizharadze,Shine,106,3,qualified
2010,https://eurovision.tv/event/oslo-2010,SF2,17,Turkey,maNga,We Could Be The Same,118,1,qualified
2009,https://eurovision.tv/event/moscow-2009,Final,1,Lithuania,Sasha Son,Love,23,23,NA
2009,https://eurovision.tv/event/moscow-2009,Final,2,Israel,Noa & Mira Awad,There Must Be Another Way,53,16,NA
2009,https://eurovision.tv/event/moscow-2009,Final,3,France,Patricia Kaas,Et S'il Fallait Le Faire,107,8,NA
2009,https://eurovision.tv/event/moscow-2009,Final,4,Sweden,Malena Ernman,La Voix,33,21,NA
2009,https://eurovision.tv/event/moscow-2009,Final,5,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,45,18,NA
2009,https://eurovision.tv/event/moscow-2009,Final,6,Portugal,Flor-de-lis,Todas As Ruas Do Amor,57,15,NA
2009,https://eurovision.tv/event/moscow-2009,Final,7,Iceland,Yohanna,Is It True?,218,2,NA
2009,https://eurovision.tv/event/moscow-2009,Final,8,Greece,Sakis Rouvas,This Is Our Night,120,7,NA
2009,https://eurovision.tv/event/moscow-2009,Final,9,Armenia,Inga & Anush,Jan Jan,92,10,NA
2009,https://eurovision.tv/event/moscow-2009,Final,10,Russia,Anastasia Prikhodko,Mamo,91,11,NA
2009,https://eurovision.tv/event/moscow-2009,Final,11,Azerbaijan,AySel & Arash,Always,207,3,NA
2009,https://eurovision.tv/event/moscow-2009,Final,12,Bosnia & Herzegovina,Regina,Bistra Voda,106,9,NA
2009,https://eurovision.tv/event/moscow-2009,Final,13,Moldova,Nelly Ciobanu,Hora Din Moldova,69,14,NA
2009,https://eurovision.tv/event/moscow-2009,Final,14,Malta,Chiara,What If We,31,22,NA
2009,https://eurovision.tv/event/moscow-2009,Final,15,Estonia,Urban Symphony,Rändajad,129,6,NA
2009,https://eurovision.tv/event/moscow-2009,Final,16,Denmark,Brinck,Believe Again,74,13,NA
2009,https://eurovision.tv/event/moscow-2009,Final,17,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,35,20,NA
2009,https://eurovision.tv/event/moscow-2009,Final,18,Turkey,Hadise,Düm Tek Tek,177,4,NA
2009,https://eurovision.tv/event/moscow-2009,Final,19,Albania,Kejsi Tola,Carry Me In Your Dreams,48,17,NA
2009,https://eurovision.tv/event/moscow-2009,Final,20,Norway,Alexander Rybak,Fairytale,387,1,NA
2009,https://eurovision.tv/event/moscow-2009,Final,21,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),76,12,NA
2009,https://eurovision.tv/event/moscow-2009,Final,22,Romania,Elena,The Balkan Girls,40,19,NA
2009,https://eurovision.tv/event/moscow-2009,Final,23,United Kingdom,Jade Ewen,It's My Time,173,5,NA
2009,https://eurovision.tv/event/moscow-2009,Final,24,Finland,Waldo's People,Lose Control,22,25,NA
2009,https://eurovision.tv/event/moscow-2009,Final,25,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),23,24,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,1,Montenegro,Andrea Demirovic,Just Get Out of My Life,44,11,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,2,Czech Republic,Gipsy.cz,Aven Romale,0,18,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,3,Belgium,Copycat,Copycat,1,17,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,4,Belarus,Petr Elfimov,Eyes That Never Lie,25,13,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,5,Sweden,Malena Ernman,La Voix,105,4,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,6,Armenia,Inga & Anush,Jan Jan,99,5,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,7,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),8,15,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,8,Switzerland,Lovebugs,The Highest Heights,15,14,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,9,Turkey,Hadise,Düm Tek Tek,172,2,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,10,Israel,Noa & Mira Awad,There Must Be Another Way,75,7,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,11,Bulgaria,Krassimir Avramov,Illusion,7,16,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,12,Iceland,Yohanna,Is It True?,174,1,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,13,North Macedonia,Next Time,Neshto Shto Ke Ostane,45,10,NA
2009,https://eurovision.tv/event/moscow-2009,SF1,14,Romania,Elena,The Balkan Girls,67,9,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,15,Finland,Waldo's People,Lose Control,42,12,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,16,Portugal,Flor-de-lis,Todas As Ruas Do Amor,70,8,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,17,Malta,Chiara,What If We,86,6,qualified
2009,https://eurovision.tv/event/moscow-2009,SF1,18,Bosnia & Herzegovina,Regina,Bistra Voda,125,3,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,1,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,33,13,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,2,Ireland,Sinéad Mulvey & Black Daisy,Et Cetera,52,11,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,3,Latvia,Intars Busulis,Probka,7,19,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,4,Serbia,Marko Kon & Milaan,Cipela,60,10,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,5,Poland,Lidia Kopania,I Don't Wanna Leave,43,12,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,6,Norway,Alexander Rybak,Fairytale,201,1,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,7,Cyprus,Christina Metaxa,Firefly,32,14,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,8,Slovakia,Kamil Mikulčík & Nela Pocisková,Leť Tmou,8,18,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,9,Denmark,Brinck,Believe Again,69,8,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,10,Slovenia,Quartissimo feat. Martina,Love Symphony,14,16,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,11,Hungary,Zoli Ádok,Dance With Me,16,15,NA
2009,https://eurovision.tv/event/moscow-2009,SF2,12,Azerbaijan,AySel & Arash,Always,180,2,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,13,Greece,Sakis Rouvas,This Is Our Night,110,4,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,14,Lithuania,Sasha Son,Love,66,9,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,15,Moldova,Nelly Ciobanu,Hora Din Moldova,106,5,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,16,Albania,Kejsi Tola,Carry Me In Your Dreams,73,7,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,17,Ukraine,"Svetlana Loboda

 

qualified",Be my Valentine! (Anti-crisis Girl),80,6,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,18,Estonia,Urban Symphony,Rändajad,115,3,qualified
2009,https://eurovision.tv/event/moscow-2009,SF2,19,The Netherlands,The Toppers,Shine,11,17,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,1,Romania,Nico & Vlad,Pe-o Margine De Lume,45,20,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,2,United Kingdom,Andy Abraham,Even If,14,25,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,3,Albania,Olta Boka,Zemrën E Lamë Peng,55,17,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,4,Germany,No Angels,Disappear,14,23,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,5,Armenia,Sirusho,"Qele, Qele",199,4,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,6,Bosnia & Herzegovina,Laka,Pokušaj,110,10,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,7,Israel,Boaz,The Fire In Your Eyes,124,9,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,8,Finland,Teräsbetoni,Missä Miehet Ratsastaa,35,22,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,9,Croatia,Kraljevi Ulice & 75 Cents,Romanca,44,21,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,10,Poland,Isis Gee,For Life,14,24,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,11,Iceland,Euroband,This Is My Life,64,14,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,12,Turkey,Mor ve Ötesi,Deli,138,7,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,13,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),69,13,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,14,Latvia,Pirates Of The Sea,Wolves Of The Sea,83,12,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,15,Sweden,Charlotte Perrelli,Hero,47,18,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,16,Denmark,Simon Mathew,All Night Long,60,15,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,17,Georgia,Diana Gurtskaya,Peace Will Come,83,11,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,18,Ukraine,Ani Lorak,Shady Lady,230,2,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,19,France,Sébastien Tellier,Divine,47,19,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,20,Azerbaijan,Elnur & Samir,Day After Day,132,8,NA
2008,https://eurovision.tv/event/belgrade-2008,Final,21,Greece,Kalomira,Secret Combination,218,3,NA
