year,events_urls,round,from,by,to,points
1998,https://eurovision.tv/event/birmingham-1998,Final,Finland,NA,Croatia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Finland,NA,Norway,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Finland,NA,Germany,1
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Israel,12
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Portugal,10
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Croatia,8
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Malta,6
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,The Netherlands,5
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Spain,4
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,United Kingdom,3
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Poland,2
1998,https://eurovision.tv/event/birmingham-1998,Final,France,NA,Hungary,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Turkey,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Croatia,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Malta,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Israel,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,The Netherlands,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Poland,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Belgium,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Norway,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,Ireland,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Germany,NA,United Kingdom,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Cyprus,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Israel,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,The Netherlands,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,United Kingdom,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Malta,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Croatia,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Belgium,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Germany,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Slovenia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Greece,NA,Portugal,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,The Netherlands,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,United Kingdom,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Sweden,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Malta,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Ireland,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Norway,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Estonia,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Belgium,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Poland,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Hungary,NA,Cyprus,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Malta,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,The Netherlands,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Germany,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Israel,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,United Kingdom,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Norway,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Croatia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Sweden,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Ireland,NA,Estonia,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,United Kingdom,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Croatia,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,The Netherlands,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Malta,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Romania,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Belgium,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Norway,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Spain,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Portugal,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Israel,NA,Cyprus,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Israel,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Croatia,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,United Kingdom,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,The Netherlands,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Ireland,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Norway,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Sweden,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Belgium,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Portugal,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Malta,NA,Cyprus,1
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Croatia,12
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,United Kingdom,10
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Israel,8
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Ireland,7
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Belgium,6
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Turkey,5
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Portugal,4
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,The Netherlands,3
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,France,2
1998,https://eurovision.tv/event/birmingham-1998,Final,North Macedonia,NA,Finland,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Malta,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Sweden,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,The Netherlands,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Croatia,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,United Kingdom,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Ireland,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Israel,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Hungary,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Norway,NA,Finland,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Belgium,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Israel,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Malta,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,United Kingdom,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Croatia,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,The Netherlands,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Norway,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Sweden,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Ireland,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Poland,NA,Estonia,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Israel,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Germany,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Belgium,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,The Netherlands,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,United Kingdom,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Malta,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Cyprus,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Norway,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Croatia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Portugal,NA,Ireland,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,United Kingdom,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Poland,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Ireland,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Israel,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Germany,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Slovenia,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Cyprus,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,North Macedonia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Turkey,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Romania,NA,Hungary,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Malta,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Croatia,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Estonia,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,The Netherlands,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Cyprus,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Ireland,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,North Macedonia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,Portugal,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovakia,NA,United Kingdom,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Croatia,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Norway,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Germany,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Israel,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Belgium,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,United Kingdom,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,North Macedonia,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Malta,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Estonia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Slovenia,NA,Ireland,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Germany,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Israel,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Norway,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Portugal,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Malta,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,The Netherlands,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,United Kingdom,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Estonia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Spain,NA,Croatia,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Norway,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Finland,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,The Netherlands,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,United Kingdom,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Malta,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Israel,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Estonia,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Croatia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Belgium,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Sweden,NA,Ireland,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Germany,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Israel,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Malta,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,The Netherlands,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Spain,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Croatia,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Belgium,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,United Kingdom,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Ireland,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Switzerland,NA,Norway,1
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Germany,12
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Belgium,10
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Malta,8
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,United Kingdom,7
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Israel,6
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Sweden,5
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Croatia,4
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Norway,3
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Estonia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,The Netherlands,NA,Turkey,1
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,United Kingdom,12
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Malta,10
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Ireland,8
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,The Netherlands,7
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Portugal,6
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Israel,5
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Croatia,4
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Slovenia,3
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Sweden,2
1998,https://eurovision.tv/event/birmingham-1998,Final,Turkey,NA,Belgium,1
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Malta,12
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,The Netherlands,10
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Ireland,8
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Belgium,7
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Germany,6
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Israel,5
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Norway,4
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Cyprus,3
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Croatia,2
1998,https://eurovision.tv/event/birmingham-1998,Final,United Kingdom,NA,Sweden,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Bosnia & Herzegovina,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Germany,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Croatia,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Malta,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Sweden,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Denmark,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,The Netherlands,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Estonia,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Iceland,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Austria,NA,Israel,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,The Netherlands,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Germany,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Iceland,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Sweden,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Austria,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Croatia,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Estonia,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Israel,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Slovenia,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Belgium,NA,Bosnia & Herzegovina,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Sweden,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Germany,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Croatia,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Malta,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Poland,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Slovenia,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,The Netherlands,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Estonia,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,Israel,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Bosnia & Herzegovina,NA,United Kingdom,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Slovenia,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Bosnia & Herzegovina,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Israel,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Norway,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Malta,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,United Kingdom,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Belgium,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Germany,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Lithuania,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Croatia,NA,Spain,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Iceland,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Israel,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Denmark,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Norway,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Sweden,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Lithuania,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,United Kingdom,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Malta,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Croatia,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Cyprus,NA,Austria,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Iceland,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Sweden,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Bosnia & Herzegovina,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,The Netherlands,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Norway,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Germany,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Estonia,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Austria,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,Israel,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Denmark,NA,United Kingdom,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Sweden,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Iceland,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Austria,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Germany,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Denmark,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Belgium,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Israel,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Croatia,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Lithuania,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Estonia,NA,Malta,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Portugal,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Israel,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Germany,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Croatia,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Bosnia & Herzegovina,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Turkey,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Estonia,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Sweden,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Belgium,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,France,NA,Slovenia,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Turkey,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Croatia,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Bosnia & Herzegovina,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Israel,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Estonia,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Austria,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Poland,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Iceland,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Sweden,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Germany,NA,Malta,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Denmark,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Sweden,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Austria,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Norway,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,The Netherlands,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Germany,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Croatia,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Bosnia & Herzegovina,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Estonia,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Iceland,NA,Israel,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Slovenia,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Belgium,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Estonia,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Denmark,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Croatia,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Sweden,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Iceland,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,Norway,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,France,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Ireland,NA,The Netherlands,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Germany,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Iceland,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Sweden,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Croatia,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,The Netherlands,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Belgium,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,United Kingdom,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Lithuania,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Denmark,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Israel,NA,Estonia,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Ireland,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Slovenia,10
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Iceland,8
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Poland,7
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Croatia,6
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,United Kingdom,5
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,The Netherlands,4
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Sweden,3
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,France,2
1999,https://eurovision.tv/event/jerusalem-1999,Final,Lithuania,NA,Estonia,1
1999,https://eurovision.tv/event/jerusalem-1999,Final,Malta,NA,Sweden,12
1999,https://eurovision.tv/event/jerusalem-1999,Final,Malta,NA,Iceland,10
